;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Contenaire;Réf Exportateur;Réf dossier;Date_départ;Date arrivée;Palette;Calibre;Poids_com;Emballage;Code emb;Client;Code client;Destination;Code;Verger;Versement;Bdq;Variete;Code Variete;Producteur;Code Producteur;Exportateur;Code Exportateur;Nbr col;Poids net;Type transport;Client.1;heure départ;Période;Exportateur.1;Contenaire.1;Transitaire local;Ville de départ;Pays;Destination.1;Etat;Date de la commande;Date de livraison;Date prévue;État de la facture;Devise/Afficher Nom;Col;CU LOG; Logistique ; Montant_Prest ; Mt export_dev ;Mt_MAD; Poins net ; Bilan Matière.MS_U par semaine ; Bilan Matière.DépDevU ; Bilan Matière.CA_DEV_U ; Bilan Matière.Trasnp_U ; Bilan Matière.Drencher_U ; CU CIRE ; Electricité ; Gasoil ; propane ; Maintenance ; Mt Transport ; mt.Maintenance ; PropaneMt ; Gasoilmt ; Elect_Mt ; Cire_Mt ; Drench_Mt ; CA_DEV_Mt ; Dev_Dep_Mt ; MS_Mt 
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026828;4;435;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2900;IGLI;641;BDQ002134;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;29;466,4166667;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;435;;;466,4166667;;;;0,227751343;0,279643131;0,045451034;0,04;0,028358195;0,02;0,068943398;106,2270223;32,15634979;9,328333333;13,22673487;18,65666667;21,19911994;130,4302171;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026828;4;435;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2900;IGLI;641;BDQ002134;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;29;466,4166667;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;435;;;691,5833333;;;;0,235558546;0,358148273;0,045451034;0,04;0,028358195;0,02;0,068943398;162,9083647;47,68010485;13,83166667;13,22673487;27,66333333;21,19911994;247,6893763;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026828;4;645;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2900;IGLI;642;BDQ002134;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;43;691,5833333;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;645;;;466,4166667;;;;0,227751343;0,279643131;0,045451034;0,04;0,028358195;0,02;0,068943398;106,2270223;32,15634979;9,328333333;19,61205515;18,65666667;31,43317784;130,4302171;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026828;4;645;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2900;IGLI;642;BDQ002134;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;43;691,5833333;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;645;;;691,5833333;;;;0,235558546;0,358148273;0,045451034;0,04;0,028358195;0,02;0,068943398;162,9083647;47,68010485;13,83166667;19,61205515;27,66333333;31,43317784;247,6893763;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026862;4;600;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2900;IGLI;642;BDQ002135;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;40;647;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;600;;;647;;;;0,235558546;0,358148273;0,045451034;0,04;0,028358195;0,02;0,068943398;152,4063795;44,60637837;12,94;18,34775228;25,88;29,40681922;231,7219325;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026884;6;645;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;1741;BENI MELLAL;644;BDQ002134;MAROC-LATE;141;AYOUB HADHOUMI;1740;PRO PRIM;9734;43;680,8333333;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;645;;;680,8333333;;;;1,35646866;0,741394902;0,045451034;0,04;0,028358195;0,02;0,068943398;923,5290793;46,93896333;13,61666667;19,30720455;27,23333333;30,94457922;504,7663624;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026884;6;645;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;1741;BENI MELLAL;644;BDQ002134;MAROC-LATE;141;AYOUB HADHOUMI;1740;PRO PRIM;9734;43;680,8333333;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;645;;;459,1666667;;;;0,20966129;0,382006048;0,045451034;0,04;0,028358195;0,02;0,068943398;96,26947581;31,65651015;9,183333333;19,30720455;18,36666667;30,94457922;175,4044439;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026884;6;435;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2900;IGLI;643;BDQ002134;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;29;459,1666667;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;435;;;680,8333333;;;;1,35646866;0,741394902;0,045451034;0,04;0,028358195;0,02;0,068943398;923,5290793;46,93896333;13,61666667;13,02113796;27,23333333;20,86959994;504,7663624;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026884;6;435;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2900;IGLI;643;BDQ002134;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;29;459,1666667;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;435;;;459,1666667;;;;0,20966129;0,382006048;0,045451034;0,04;0,028358195;0,02;0,068943398;96,26947581;31,65651015;9,183333333;13,02113796;18,36666667;20,86959994;175,4044439;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026889;5;1080;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;1741;BENI MELLAL;644;BDQ002134;MAROC-LATE;141;AYOUB HADHOUMI;1740;PRO PRIM;9734;72;1104;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;1080;;;1104;;;;1,35646866;0,741394902;0,045451034;0,04;0,028358195;0,02;0,068943398;1497,541401;76,11351116;22,08;31,30744748;44,16;50,17794192;818,4999717;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026892;5;1080;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;1741;BENI MELLAL;644;BDQ002134;MAROC-LATE;141;AYOUB HADHOUMI;1740;PRO PRIM;9734;72;1123;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;1080;;;1123;;;;1,35646866;0,741394902;0,045451034;0,04;0,028358195;0,02;0,068943398;1523,314305;77,42343572;22,46;31,84625319;44,92;51,04151157;832,5864749;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026893;6;1080;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;1741;BENI MELLAL;644;BDQ002134;MAROC-LATE;141;AYOUB HADHOUMI;1740;PRO PRIM;9734;72;1070;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;1080;;;1070;;;;1,35646866;0,741394902;0,045451034;0,04;0,028358195;0,02;0,068943398;1451,421466;73,76943563;21,4;30,34326885;42,8;48,63260675;793,2925451;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026907;5;960;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2900;IGLI;645;BDQ002134;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;64;1006,222222;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;960;;;1006,222222;;;;0,232297818;0,420972401;0,045451034;0,04;0,028358195;0,02;0,068943398;233,7432264;69,37237893;20,12444444;28,53464618;40,24888889;45,73384078;423,5917843;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026907;5;960;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2900;IGLI;645;BDQ002134;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;64;1006,222222;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;960;;;125,7777778;;;;0,245597573;0,412452338;0,045451034;0,04;0,028358195;0,02;0,068943398;30,89071694;8,671547366;2,515555556;28,53464618;5,031111111;45,73384078;51,87733846;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026907;5;120;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2901;OULED DRISS;646;BDQ002134;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;8;125,7777778;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;120;;;1006,222222;;;;0,232297818;0,420972401;0,045451034;0,04;0,028358195;0,02;0,068943398;233,7432264;69,37237893;20,12444444;3,566830772;40,24888889;5,716730098;423,5917843;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026907;5;120;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2901;OULED DRISS;646;BDQ002134;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;8;125,7777778;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;120;;;125,7777778;;;;0,245597573;0,412452338;0,045451034;0,04;0,028358195;0,02;0,068943398;30,89071694;8,671547366;2,515555556;3,566830772;5,031111111;5,716730098;51,87733846;;;
MNBU0155156;9734;926;22/06/2022;13/07/2022;EX026829;4;1080;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2900;IGLI;642;BDQ002145;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;72;1168;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;MNBU0155156;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;1080;;;1168;;;;0,235558546;0,358148273;0,045451034;0,04;0,028358195;0,02;0,068943398;275,1323822;80,52588862;23,36;33,12237198;46,72;53,08680812;418,3171826;;;
MNBU0155156;9734;926;22/06/2022;13/07/2022;EX026936;4;1080;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2901;OULED DRISS;647;BDQ002145;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;72;1245;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;MNBU0155156;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;1080;;;1245;;;;0,220126607;0,364901747;0,045451034;0,04;0,028358195;0,02;0,068943398;274,057626;85,83453025;24,9;35,305953;49,8;56,58653776;454,3026753;;;
MNBU0155156;9734;926;22/06/2022;13/07/2022;EX026937;4;1080;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2901;OULED DRISS;647;BDQ002145;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;72;1187;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;MNBU0155156;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;1080;;;1187;;;;0,220126607;0,364901747;0,045451034;0,04;0,028358195;0,02;0,068943398;261,2902828;81,83581318;23,74;33,66117768;47,48;53,95037777;433,138374;;;
MNBU0155156;9734;926;22/06/2022;13/07/2022;EX026938;4;1080;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2901;OULED DRISS;647;BDQ002145;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;72;1258;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;MNBU0155156;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;1080;;;1258;;;;0,220126607;0,364901747;0,045451034;0,04;0,028358195;0,02;0,068943398;276,9192719;86,73079442;25,16;35,67460954;50,32;57,17740121;459,046398;;;
